#TC_ID/PC_ID , Testcase_Description, Service_ID, SubService_ID, Expected_Response_Data, Write_Data, Addressing, Format, Status_Mask, Communication_Type
TC_ID-114 , PreCondition: PC_ID-007  Testcase:ECU_Supplier_Code_F1_A1_Read(Defaultsession),0x22,0xF1A1,07 62 F1 A1 61 38 31 32,  ,Physical,Hex,	,
TC_ID-115 , PreCondition: PC_ID-007  Testcase:Software_Version_for_HKMC_Vehicle_Manufacture_F1_A0_Read(Extendedsession),0x22,0xF1A0,10 08 62 F1 A0 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-116 , PreCondition: PC_ID-007   Testcase:ECU_Software_UNIT_number_F1_B0_Read(Extendedsession),0x22,0xF1B0,04 62 F1 B0 01 AA AA AA,  ,Physical,Hex,	,
PC_ID-008 , Start Extended session,0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,	,
TC_ID-117 , PreCondition: PC_ID-008 Testcase:SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Read(Defaultsession),0x22,0xF195,10 08 62 F1 95 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-118 , PreCondition: PC_ID-008   Testcase:ECU_Software_UNIT1_Version_F1_B1_Read(Defaultsession),0x22,0xF1B1,10 08 62 F1 B1 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-119 , PreCondition: PC_ID-008   Testcase:Vehicle_Manufacturer_ECU_HW_Number_F1_91_Read(Defaultsession),0x22,0xF191,10 08 62 F1 91 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,Hex,	,
PC_ID-009 , Start Default session,0x10,0x01,06 50 01 00 32 01 F4 AA,  ,Physical,Hex,	,
TC_ID-120 , PreCondition: PC_ID-009 Testcase:SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Read(Defaultsession),0x22,0xF195,10 08 62 F1 95 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-121 , PreCondition: PC_ID-009  Testcase:ECU_Software_UNIT1_Version_F1_B1_Read(Defaultsession),0x22,0xF1B1,10 08 62 F1 B1 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-122 , PreCondition: PC_ID-009  Testcase:Vehicle_Manufacturer_ECU_HW_Number_F1_91_Read(Defaultsession),0x22,0xF191,10 08 62 F1 91 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,Hex,	,
PC_ID-010 , Start Extended session,0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,	,
TC_ID-123 , PreCondition: PC_ID-010  Testcase:HardwareVersionNumber_F1_93_Read(Extendedsession),0x22,0xF193,10 08 62 F1 93 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-124 , PreCondition: PC_ID-010  Testcase:RX_SWIN_F1_EF_Read(Defaultsession),0x22,0xF1EF,10 2B 62 F1 EF 07 16 0B 52 31 30 20 41 59 31 2F 31 2F 30 0C 52 31 35 35 20 41 59 31 2F 31 2F 30 0C 52 31 35 36 20 41 59 31 2F 31 2F 30 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-125 , PreCondition: PC_ID-010  Testcase:ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Read(Defaultsession),0x22,0xF1C1,10 23 62 F1 C1 9F 27 A1 70 58 C0 0F 18 3B 64 D2 4C B6 6F 93 8D D5 1D FE 9D 05 67 39 C7 3A AF CE CC 78 EB 03 AF AA AA AA AA AA AA,  ,Physical,Hex,	,
PC_ID-011 , Start Default session,0x10,0x01,06 50 01 00 32 01 F4 AA,  ,Physical,Hex,	,
TC_ID-126 , PreCondition: PC_ID-011  Testcase:HardwareVersionNumber_F1_93_Read(Extendedsession),0x22,0xF193,10 08 62 F1 93 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-127 , PreCondition: PC_ID-011   Testcase:RX_SWIN_F1_EF_Read(Defaultsession),0x22,0xF1EF,10 2B 62 F1 EF 07 16 0B 52 31 30 20 41 59 31 2F 31 2F 30 0C 52 31 35 35 20 41 59 31 2F 31 2F 30 0C 52 31 35 36 20 41 59 31 2F 31 2F 30 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-128 , PreCondition: PC_ID-011  Testcase:ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Read(Defaultsession),0x22,0xF1C1,10 23 62 F1 C1 9F 27 A1 70 58 C0 0F 18 3B 64 D2 4C B6 6F 93 8D D5 1D FE 9D 05 67 39 C7 3A AF CE CC 78 EB 03 AF AA AA AA AA AA AA,  ,Physical,Hex,	,
PC_ID-012 , Start Extended session,0x10,03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,	,
TC_ID-129 , PreCondition: PC_ID-012   Testcase:DTC setting ON  Pre-condition extended(85 01),0x85,01,02 C5 01 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-130 , PreCondition: PC_ID-002   Testcase:DTC setting OFF Pre-condition extended(85 02) ,0x85,02,02 C5 02 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-131 , PreCondition: PC_ID-002   Testcase:Sub function not supported(not valid sub function)(85 08) ,0x85,08,03 7F 85 12 AA AA AA AA,  ,Physical,Hex,	,
TC_ID-132 , PreCondition: PC_ID-002   Testcase: Invalid  sub function(85 0A) ,0x85,0A,03 7F 85 12 AA AA AA AA,  ,Physical,Hex,	,
TC_ID-133 , PreCondition: PC_ID-002   Testcase:Incorrect message length(No sub function) with Extended session(85),0x85,  ,03 7F 85 13 AA AA AA AA,  ,Physical,Hex,	,
TC_ID-134 , PreCondition: PC_ID-002   Testcase:Incorrect message length(No sub function) with Extended session(85),0x85,01,03 7F 85 13 AA AA AA AA,  ,Physical,Hex,	,
PC_ID-013 , Start Programming session,0x10,02,06 50 02 00 32 01 F4 AA,  ,Physical,Hex,	,
TC_ID-135 , PreCondition: PC_ID-013  Testcase:DTC setting ON  Pre-condition programming(85 01),0x85,01,02 C5 01 AA AA AA AA AA,  ,Physical,Hex,	,
TC_ID-136 , PreCondition: PC_ID-013  Testcase:DTC setting OFF Pre-condition programming(85 02) ,0x85,02,02 C5 02 AA AA AA AA AA,  ,Physical,Hex,	,
